iter	Passed	Remaining
169	500	2441
170	500	2428
171	501	2414
172	504	2412
173	507	2407
174	509	2400
175	511	2393
176	513	2389
177	515	2378
178	518	2377
179	520	2369
180	523	2369
181	526	2365
182	528	2358
183	530	2352
184	532	2344
185	534	2338
186	536	2333
187	539	2331
188	542	2327
189	550	2346
190	556	2356
191	558	2350
192	560	2343
193	562	2335
194	565	2334
195	568	2330
196	570	2326
197	572	2320
198	575	2314
199	579	2318
200	604	2402
201	605	2390
202	606	2379
203	607	2371
204	610	2367
205	612	2360
206	613	2349
207	614	2338
208	614	2327
209	615	2315
210	616	2305
211	617	2293
212	619	2287
213	629	2311
214	631	2303
215	638	2318
216	639	2308
217	640	2298
218	641	2288
219	642	2277
220	643	2267
221	645	2260
222	651	2269
223	652	2259
224	655	2258
225	665	2277
226	666	2270
227	667	2259
228	667	2248
229	668	2238
230	693	2307
231	706	2337
232	709	2334
233	711	2328
234	712	2317
235	712	2307
236	713	2296
237	714	2286
238	715	2276
239	715	2266
240	720	2269
241	721	2259
242	722	2250
243	723	2240
244	723	2230
245	724	2221
246	725	2211
247	726	2201
248	726	2192
249	739	2217
250	739	2208
251	742	2203
252	746	2202
253	748	2197
254	751	2196
255	752	2187
256	753	2178
257	754	2169
258	754	2159
259	756	2152
260	756	2142
261	757	2134
262	758	2125
263	759	2116
264	761	2112
265	762	2103
266	766	2105
267	767	2096
268	768	2087
269	768	2079
270	769	2070
271	770	2062
272	772	2058
273	773	2050
274	774	2041
275	775	2033
276	778	2031
277	786	2042
278	787	2034
279	788	2026
280	788	2018
281	789	2010
282	794	2013
283	804	2028
284	805	2021
285	806	2013
286	807	2006
287	808	1999
288	809	1991
289	822	2013
290	829	2021
291	830	2013
292	831	2005
293	832	1998
294	833	1991
295	837	1992
296	840	1990
297	845	1991
298	846	1984
299	848	1980
300	850	1976
301	853	1972
302	857	1973
303	869	1990
304	870	1983
305	872	1978
306	872	1970
307	874	1963
308	875	1957
309	875	1949
310	876	1942
311	877	1934
312	878	1927
313	880	1923
314	881	1916
315	881	1908
316	882	1901
317	882	1893
318	883	1885
319	883	1878
320	884	1871
321	885	1864
322	887	1860
323	888	1853
324	889	1846
325	889	1838
326	897	1847
327	903	1851
328	905	1846
329	909	1847
330	911	1842
331	913	1838
332	919	1842
333	923	1841
334	925	1837
335	926	1830
336	930	1830
337	931	1823
338	937	1827
339	940	1825
340	942	1821
341	946	1820
342	950	1819
343	953	1818
344	964	1831
345	968	1829
346	969	1824
347	970	1818
348	973	1816
349	974	1809
350	979	1811
351	983	1810
352	986	1808
353	987	1802
354	989	1797
355	1000	1809
356	1001	1803
357	1003	1799
358	1010	1805
359	1019	1812
360	1021	1807
361	1022	1802
362	1023	1796
363	1024	1790
364	1036	1803
365	1037	1796
366	1037	1790
367	1039	1784
368	1040	1778
369	1040	1771
370	1041	1765
371	1042	1759
372	1043	1753
373	1044	1748
374	1049	1748
375	1049	1742
376	1050	1736
377	1055	1736
378	1057	1731
379	1058	1727
380	1062	1726
381	1064	1721
382	1066	1718
383	1067	1713
384	1068	1707
385	1069	1700
386	1070	1694
387	1080	1704
388	1082	1700
389	1083	1694
390	1083	1688
391	1097	1701
392	1127	1741
393	1133	1743
394	1135	1739
395	1138	1737
396	1140	1732
397	1142	1728
398	1144	1723
399	1146	1719
400	1155	1725
401	1157	1721
402	1162	1722
403	1164	1717
404	1167	1715
405	1170	1712
406	1172	1708
407	1176	1706
408	1178	1702
409	1180	1698
410	1182	1694
411	1185	1691
412	1187	1687
413	1191	1685
414	1192	1681
415	1195	1678
416	1197	1674
417	1198	1669
418	1200	1664
419	1202	1660
420	1203	1654
421	1204	1649
422	1206	1645
423	1207	1640
424	1208	1635
425	1209	1629
426	1210	1624
427	1211	1618
428	1212	1613
429	1220	1617
430	1221	1612
431	1223	1608
432	1223	1602
433	1224	1597
434	1225	1592
435	1226	1587
436	1228	1582
437	1229	1577
438	1243	1589
439	1244	1584
440	1245	1578
441	1245	1572
442	1248	1569
443	1253	1570
444	1261	1572
445	1262	1568
446	1265	1565
447	1267	1561
448	1275	1565
449	1304	1594
450	1306	1590
451	1310	1588
452	1312	1584
453	1313	1579
454	1314	1574
455	1315	1569
456	1316	1563
457	1317	1558
458	1317	1553
459	1320	1550
460	1324	1548
461	1327	1545
462	1329	1542
463	1335	1542
464	1339	1540
465	1340	1536
466	1345	1536
467	1347	1531
468	1349	1528
469	1351	1523
470	1352	1518
471	1353	1514
472	1354	1509
473	1355	1504
474	1357	1500
475	1358	1495
476	1359	1490
477	1360	1485
478	1360	1480
479	1361	1475
480	1362	1470
481	1364	1466
482	1365	1461
483	1369	1460
484	1371	1455
485	1372	1451
486	1372	1446
487	1373	1441
488	1374	1436
489	1375	1431
490	1376	1426
491	1377	1422
492	1378	1417
493	1378	1412
494	1380	1408
495	1401	1424
496	1413	1430
497	1422	1434
498	1424	1429
499	1425	1425
500	1426	1420
501	1427	1415
502	1433	1416
503	1439	1416
504	1441	1413
505	1442	1408
506	1443	1403
507	1445	1400
508	1448	1397
509	1449	1392
510	1450	1388
511	1451	1383
512	1452	1378
513	1453	1373
514	1453	1369
515	1454	1364
516	1455	1359
517	1455	1354
518	1456	1350
519	1457	1345
520	1459	1342
521	1460	1337
522	1465	1336
523	1466	1331
524	1467	1327
525	1468	1323
526	1469	1318
527	1470	1314
528	1471	1309
529	1471	1305
530	1472	1300
531	1473	1296
532	1474	1291
533	1480	1291
534	1486	1291
535	1488	1288
536	1489	1284
537	1494	1283
538	1496	1280
539	1499	1277
540	1501	1273
541	1502	1269
542	1505	1267
543	1506	1262
544	1508	1259
545	1510	1256
546	1514	1254
547	1518	1252
548	1520	1249
549	1521	1245
550	1524	1242
551	1530	1242
552	1533	1239
553	1534	1235
554	1537	1232
555	1539	1229
556	1540	1225
557	1544	1223
558	1546	1219
559	1549	1217
560	1552	1214
561	1554	1211
562	1556	1208
563	1558	1205
564	1560	1201
565	1561	1197
566	1563	1193
567	1565	1190
568	1567	1187
569	1570	1184
570	1573	1181
571	1574	1178
572	1577	1175
573	1578	1171
574	1580	1168
575	1582	1165
576	1584	1161
577	1586	1158
578	1589	1155
579	1589	1151
580	1592	1148
581	1595	1145
582	1596	1141
583	1598	1138
584	1600	1135
585	1602	1132
586	1606	1130
587	1607	1126
588	1609	1122
589	1609	1118
590	1610	1114
591	1612	1111
592	1612	1106
593	1613	1103
594	1615	1099
595	1616	1095
596	1617	1091
597	1618	1087
598	1618	1083
599	1619	1079
600	1620	1076
601	1621	1072
602	1623	1069
603	1624	1065
604	1625	1061
605	1626	1057
606	1627	1053
607	1628	1049
608	1630	1046
609	1630	1042
610	1631	1039
611	1633	1035
612	1633	1031
613	1634	1027
614	1635	1023
615	1636	1020
616	1637	1016
617	1637	1012
618	1638	1008
619	1639	1004
620	1640	1001
621	1641	997
622	1642	993
623	1643	990
624	1644	986
625	1645	982
626	1646	979
627	1646	975
628	1647	971
629	1648	967
630	1648	964
631	1650	960
632	1651	957
633	1651	953
634	1652	949
635	1652	946
636	1653	942
637	1654	938
638	1655	935
639	1655	931
640	1656	927
641	1657	924
642	1657	920
643	1658	916
644	1659	913
645	1661	910
646	1662	906
647	1663	903
648	1664	900
649	1664	896
650	1665	893
651	1666	889
652	1679	892
653	1680	889
654	1688	889
655	1694	888
656	1715	895
657	1720	894
658	1721	890
659	1731	891
660	1731	888
661	1732	884
662	1733	881
663	1733	877
664	1735	874
665	1736	870
666	1737	867
667	1738	864
668	1739	860
669	1740	857
670	1741	853
671	1742	850
672	1743	847
673	1744	844
674	1746	840
675	1747	837
676	1748	834
677	1749	830
678	1750	827
679	1750	823
680	1751	820
681	1754	818
682	1755	814
683	1756	811
684	1757	808
685	1758	805
686	1759	801
687	1762	799
688	1765	796
689	1777	798
690	1778	795
691	1779	792
692	1780	788
693	1781	785
694	1782	782
695	1785	779
696	1785	776
697	1786	772
698	1787	769
699	1788	766
700	1789	763
701	1790	759
702	1790	756
703	1792	753
704	1793	750
705	1798	748
706	1801	746
707	1805	744
708	1806	741
709	1807	738
710	1808	735
711	1821	736
712	1822	733
713	1825	731
714	1831	729
715	1833	727
716	1837	725
717	1839	722
718	1841	719
719	1843	717
720	1846	714
721	1848	711
722	1849	708
723	1852	706
724	1855	703
725	1861	702
726	1865	700
727	1868	698
728	1871	695
729	1873	692
730	1878	691
731	1880	688
732	1880	685
733	1881	682
734	1882	678
735	1883	675
736	1884	672
737	1885	669
738	1885	666
739	1888	663
740	1888	660
741	1901	661
742	1903	658
743	1905	655
744	1922	658
745	1926	656
746	1931	654
747	1934	651
748	1934	648
749	1937	645
750	1938	642
751	1939	639
752	1940	636
753	1943	634
754	1947	631
755	1948	628
756	1951	626
757	1954	623
758	1957	621
759	1960	618
760	1961	616
761	1964	613
762	1966	610
763	1968	607
764	1969	605
765	1972	602
766	1974	599
767	1976	597
768	1983	595
769	1984	592
770	1986	590
771	1987	587
772	1990	584
773	1991	581
774	1992	578
775	1993	575
776	1995	572
777	1997	569
778	1998	567
779	2002	564
780	2005	562
781	2007	559
782	2008	556
783	2010	553
784	2013	551
785	2016	549
786	2017	546
787	2022	544
788	2025	541
789	2028	539
790	2031	536
791	2033	534
792	2035	531
793	2038	528
794	2040	526
795	2043	523
796	2049	521
797	2050	519
798	2053	516
799	2056	514
800	2058	511
801	2060	508
802	2063	506
803	2065	503
804	2067	500
805	2069	498
806	2071	495
807	2073	492
808	2076	490
809	2078	487
810	2084	485
811	2091	484
812	2095	482
813	2097	479
814	2099	476
815	2101	473
816	2104	471
817	2105	468
818	2107	465
819	2108	462
820	2110	460
821	2113	457
822	2114	454
823	2116	452
824	2118	449
825	2121	446
826	2123	444
827	2125	441
828	2128	439
829	2130	436
830	2131	433
831	2135	431
832	2137	428
833	2139	425
834	2142	423
835	2143	420
836	2145	417
837	2147	415
838	2148	412
839	2153	410
840	2154	407
841	2155	404
842	2156	401
843	2156	398
844	2157	395
845	2158	392
846	2159	390
847	2159	387
848	2160	384
849	2162	381
850	2163	378
851	2168	376
852	2168	373
853	2169	370
854	2169	367
855	2170	365
856	2170	362
857	2171	359
858	2172	356
859	2172	353
860	2172	350
861	2174	348
862	2174	345
863	2175	342
864	2175	339
865	2175	336
866	2177	333
867	2178	331
868	2179	328
869	2184	326
870	2186	323
871	2187	321
872	2189	318
873	2191	315
874	2194	313
875	2198	311
876	2201	308
877	2204	306
878	2209	304
879	2209	301
880	2211	298
881	2215	296
882	2221	294
883	2223	291
884	2226	289
885	2228	286
886	2233	284
887	2234	281
888	2236	279
889	2238	276
890	2242	274
891	2244	271
892	2246	269
893	2247	266
894	2248	263
895	2249	261
896	2250	258
897	2252	255
898	2255	253
899	2256	250
900	2257	248
901	2258	245
902	2258	242
903	2261	240
904	2261	237
905	2263	234
906	2264	232
907	2267	229
908	2268	227
909	2270	224
910	2271	221
911	2273	219
912	2278	217
913	2278	214
914	2279	211
915	2282	209
916	2284	206
917	2284	204
918	2286	201
919	2288	198
920	2289	196
921	2290	193
922	2291	191
923	2293	188
924	2294	186
925	2295	183
926	2297	180
927	2298	178
928	2300	175
929	2301	173
930	2301	170
931	2302	168
932	2303	165
933	2305	162
934	2306	160
935	2318	158
936	2319	155
937	2330	154
938	2338	151
939	2339	149
940	2340	146
941	2340	144
942	2351	142
943	2360	140
944	2361	137
945	2362	134
946	2364	132
947	2365	129
948	2365	127
949	2367	124
950	2368	122
951	2368	119
952	2369	116
953	2370	114
954	2371	111
955	2372	109
956	2374	106
957	2377	104
958	2380	101
959	2381	99
960	2383	96
961	2385	94
962	2386	91
963	2387	89
964	2391	86
965	2392	84
966	2393	81
967	2394	79
968	2395	76
969	2395	74
970	2397	71
971	2398	69
972	2399	66
973	2400	64
974	2401	61
975	2403	59
976	2404	56
977	2405	54
978	2406	51
979	2408	49
980	2408	46
981	2409	44
982	2410	41
983	2411	39
984	2412	36
985	2413	34
986	2414	31
987	2415	29
988	2416	26
989	2417	24
990	2418	21
991	2419	19
992	2422	17
993	2423	14
994	2425	12
995	2426	9
996	2429	7
997	2431	4
998	2432	2
999	2437	0
